,DBSN(t-1),DWSN(t-1),DBWR(t-1),DWWR(t-1),DBTMR(t-1),DWTMR(t-1),DBSN(t),DWSN(t),DBWR(t),DWWR(t),DBTMR(t),DWTMR(t),EBWR(t),DBWR(t+1)
0,22000,5498.0,0.46976,0.52452,1.0,1.0,6878,11647.0,0.4656,0.5312600000000001,1.0,1.0,0.49276000000000003,0.4618
1,6878,11647.0,0.4656,0.5312600000000001,1.0,1.0,6049,3087.0,0.4618,0.5163300000000001,1.0,1.0,0.4882,0.46718000000000004
2,6049,3087.0,0.4618,0.5163300000000001,1.0,1.0,20017,6127.0,0.46718000000000004,0.53488,1.0,1.0,0.426,0.46438999999999997
3,20017,6127.0,0.46718000000000004,0.53488,1.0,1.0,20017,20109.0,0.46438999999999997,0.53575,1.0,1.0,0.44515,0.46425
4,20017,20109.0,0.46438999999999997,0.53575,1.0,1.0,20204,3881.0,0.46425,0.54418,0.8333,1.0,0.44768,0.43017
5,20204,3881.0,0.46425,0.54418,0.8333,1.0,3026,7873.0,0.43017,0.54815,0.8571,1.0,0.44333,0.46492
6,3026,7873.0,0.43017,0.54815,0.8571,1.0,5206,20017.0,0.46492,0.56007,0.75,1.0,0.48477,0.43964
7,5206,20017.0,0.46492,0.56007,0.75,1.0,20149,20276.0,0.43964,0.56025,0.7778,1.0,0.4695,0.45511
8,20149,20276.0,0.43964,0.56025,0.7778,1.0,4334,4960.0,0.45511,0.5703,0.8,0.9,0.47096000000000005,0.42156000000000005
9,4334,4960.0,0.45511,0.5703,0.8,0.9,11190,20017.0,0.42156000000000005,0.57805,0.8182,0.8182,0.36579,0.43916000000000005
10,11190,20017.0,0.42156000000000005,0.57805,0.8182,0.8182,14936,9993.0,0.43916000000000005,0.57633,0.8333,0.75,0.37024,0.39832
11,14936,9993.0,0.43916000000000005,0.57633,0.8333,0.75,4016,12967.0,0.39832,0.59814,0.8462,0.6923,0.41431999999999997,0.42539
12,4016,12967.0,0.39832,0.59814,0.8462,0.6923,3822,2082.0,0.42539,0.55097,0.8571,0.7143,0.40831,0.44691000000000003
13,3822,2082.0,0.42539,0.55097,0.8571,0.7143,7973,6154.0,0.44691000000000003,0.54483,0.8667,0.7333,0.43115,0.46573000000000003
14,7973,6154.0,0.44691000000000003,0.54483,0.8667,0.7333,8276,2816.0,0.46573000000000003,0.54706,0.875,0.75,0.38161999999999996,0.46093999999999996
15,8276,2816.0,0.46573000000000003,0.54706,0.875,0.75,20017,7699.0,0.46093999999999996,0.54156,0.8824,0.7647,0.37339,0.45111
16,20017,7699.0,0.46093999999999996,0.54156,0.8824,0.7647,3858,1829.0,0.45111,0.49533999999999995,0.8889,0.7778,0.38665,0.45661
17,3858,1829.0,0.45111,0.49533999999999995,0.8889,0.7778,3926,20017.0,0.45661,0.5486800000000001,0.8947,0.7895,0.29891999999999996,0.47047
18,3926,20017.0,0.45661,0.5486800000000001,0.8947,0.7895,5938,10168.0,0.47047,0.53768,0.9,0.8,0.24861999999999998,0.4589
19,5938,10168.0,0.47047,0.53768,0.9,0.8,20017,7880.0,0.4589,0.5364399999999999,0.9048,0.8095,0.24284,0.45277
20,20017,7880.0,0.4589,0.5364399999999999,0.9048,0.8095,3582,10558.0,0.45277,0.52722,0.9091,0.8182,0.18492999999999998,0.47558
21,3582,10558.0,0.45277,0.52722,0.9091,0.8182,20017,20017.0,0.47558,0.4946,0.8696,0.8261,0.22444,0.44651
22,20017,20017.0,0.47558,0.4946,0.8696,0.8261,2894,6020.0,0.44651,0.55482,0.875,0.8333,0.19411,0.45283999999999996
23,2894,6020.0,0.44651,0.55482,0.875,0.8333,20017,2084.0,0.45283999999999996,0.5292899999999999,0.88,0.84,0.19541,0.483
24,20017,2084.0,0.45283999999999996,0.5292899999999999,0.88,0.84,3729,20017.0,0.483,0.55907,0.8462,0.8462,0.22253,0.44716999999999996
25,3729,20017.0,0.483,0.55907,0.8462,0.8462,5779,4772.0,0.44716999999999996,0.5656399999999999,0.8148,0.8148,0.13802,0.44623
26,5779,4772.0,0.44716999999999996,0.5656399999999999,0.8148,0.8148,3623,12964.0,0.44623,0.55505,0.8214,0.7857,0.050589999999999996,0.4177
27,3623,12964.0,0.44623,0.55505,0.8214,0.7857,11701,20017.0,0.4177,0.57987,0.8276,0.7931,0.08014,0.4365
28,11701,20017.0,0.4177,0.57987,0.8276,0.7931,2740,20017.0,0.4365,0.57002,0.8333,0.8,0.056220000000000006,0.43017
29,2740,20017.0,0.4365,0.57002,0.8333,0.8,20126,11225.0,0.43017,0.57531,0.8387,0.8065,0.05196,0.4252
30,20126,11225.0,0.43017,0.57531,0.8387,0.8065,20017,20136.0,0.4252,0.57486,0.8438,0.8125,0.04665,0.42561000000000004
31,20017,20136.0,0.4252,0.57486,0.8438,0.8125,20230,4585.0,0.42561000000000004,0.59795,0.8485,0.8182,0.04689,0.43076000000000003
32,20230,4585.0,0.42561000000000004,0.59795,0.8485,0.8182,6773,20017.0,0.43076000000000003,0.56666,0.8529,0.8235,0.03443,0.4333
33,6773,20017.0,0.43076000000000003,0.56666,0.8529,0.8235,20165,20274.0,0.4333,0.56692,0.8571,0.8286,0.03916,0.43306000000000006
34,20165,20274.0,0.4333,0.56692,0.8571,0.8286,20379,5268.0,0.43306000000000006,0.56697,0.8611,0.8333,0.0425,0.42183000000000004
35,20379,5268.0,0.43306000000000006,0.56697,0.8611,0.8333,5122,6669.0,0.42183000000000004,0.5754,0.8649,0.8108,0.04113,0.41698999999999997
36,5122,6669.0,0.42183000000000004,0.5754,0.8649,0.8108,5351,10747.0,0.41698999999999997,0.59383,0.8684,0.8158,0.03063,0.4042
37,5351,10747.0,0.41698999999999997,0.59383,0.8684,0.8158,3564,20017.0,0.4042,0.6127100000000001,0.8462,0.8205,0.032060000000000005,0.40651
38,3564,20017.0,0.4042,0.6127100000000001,0.8462,0.8205,4542,20017.0,0.40651,0.60072,0.85,0.825,0.04077,0.40203
39,4542,20017.0,0.40651,0.60072,0.85,0.825,8909,20017.0,0.40203,0.5980300000000001,0.8537,0.8293,0.07287,0.41003999999999996
40,8909,20017.0,0.40203,0.5980300000000001,0.8537,0.8293,14081,20017.0,0.41003999999999996,0.59245,0.8571,0.8333,0.07396,0.42208999999999997
41,14081,20017.0,0.41003999999999996,0.59245,0.8571,0.8333,12485,12335.0,0.42208999999999997,0.59737,0.8605,0.8372,0.07253,0.4068
42,12485,12335.0,0.42208999999999997,0.59737,0.8605,0.8372,14081,7171.0,0.4068,0.5736600000000001,0.8409,0.8409,0.02532,0.4241
43,14081,7171.0,0.4068,0.5736600000000001,0.8409,0.8409,20017,6691.0,0.4241,0.56077,0.8444,0.8444,0.11697,0.45102
44,20017,6691.0,0.4241,0.56077,0.8444,0.8444,9563,11863.0,0.45102,0.56628,0.8478,0.8478,0.10669000000000001,0.4323
45,9563,11863.0,0.45102,0.56628,0.8478,0.8478,20017,7646.0,0.4323,0.57196,0.8511,0.8511,0.08727,0.42326
46,20017,7646.0,0.4323,0.57196,0.8511,0.8511,12036,4937.0,0.42326,0.58829,0.8333,0.8542,0.08075,0.40242
47,12036,4937.0,0.42326,0.58829,0.8333,0.8542,11160,3944.0,0.40242,0.61132,0.8367,0.8571,0.0058,0.39208000000000004
48,11160,3944.0,0.40242,0.61132,0.8367,0.8571,10943,7128.0,0.39208000000000004,0.59944,0.84,0.84,0.00755,0.3755
49,10943,7128.0,0.39208000000000004,0.59944,0.84,0.84,5602,9186.0,0.3755,0.62353,0.8431,0.8431,0.00518,0.39734
50,5602,9186.0,0.3755,0.62353,0.8431,0.8431,7911,6737.0,0.39734,0.64099,0.8462,0.8462,0.01048,0.37149
