,DBSN(t-1),DWSN(t-1),DBWR(t-1),DWWR(t-1),DBTMR(t-1),DWTMR(t-1),DBSN(t),DWSN(t),DBWR(t),DWWR(t),DBTMR(t),DWTMR(t),EBWR(t),DBWR(t+1)
0,3863,2274.0,0.52733,0.48533000000000004,0.0,1.0,9283,7866.0,0.5152899999999999,0.48532,0.5,1.0,0.45779,0.51265
1,9283,7866.0,0.5152899999999999,0.48532,0.5,1.0,11395,6798.0,0.51265,0.47717,0.6667,1.0,0.45671000000000006,0.51885
2,11395,6798.0,0.51265,0.47717,0.6667,1.0,4499,10703.0,0.51885,0.46988,0.75,1.0,0.49086,0.5288
3,4499,10703.0,0.51885,0.46988,0.75,1.0,7388,20017.0,0.5288,0.46679,0.8,1.0,0.47218000000000004,0.53309
4,7388,20017.0,0.5288,0.46679,0.8,1.0,20098,9693.0,0.53309,0.46602,0.8333,1.0,0.47248999999999997,0.53075
5,20098,9693.0,0.53309,0.46602,0.8333,1.0,20017,14595.0,0.53075,0.4713,0.8571,1.0,0.4811,0.5212
6,20017,14595.0,0.53075,0.4713,0.8571,1.0,6786,4892.0,0.5212,0.45576000000000005,0.875,0.875,0.48858,0.53276
7,6786,4892.0,0.5212,0.45576000000000005,0.875,0.875,20017,6432.0,0.53276,0.46471999999999997,0.8889,0.7778,0.48073,0.51407
8,20017,6432.0,0.53276,0.46471999999999997,0.8889,0.7778,5267,13267.0,0.51407,0.4886,0.9,0.8,0.486,0.50868
9,5267,13267.0,0.51407,0.4886,0.9,0.8,8314,20017.0,0.50868,0.48668999999999996,0.9091,0.8182,0.43671000000000004,0.5132899999999999
10,8314,20017.0,0.50868,0.48668999999999996,0.9091,0.8182,20089,20161.0,0.5132899999999999,0.48678,0.9167,0.8333,0.41195,0.51694
11,20089,20161.0,0.5132899999999999,0.48678,0.9167,0.8333,15154,6694.0,0.51694,0.49295,0.9231,0.8462,0.40338,0.5082800000000001
12,15154,6694.0,0.51694,0.49295,0.9231,0.8462,6409,13768.0,0.5082800000000001,0.5085,0.9286,0.8571,0.34558,0.49283999999999994
13,6409,13768.0,0.5082800000000001,0.5085,0.9286,0.8571,20017,20086.0,0.49283999999999994,0.50715,0.9333,0.8667,0.29436,0.46935
14,20017,20086.0,0.49283999999999994,0.50715,0.9333,0.8667,1700,20017.0,0.46935,0.51789,0.9375,0.875,0.21323000000000003,0.47005
15,1700,20017.0,0.46935,0.51789,0.9375,0.875,12883,1581.0,0.47005,0.47529,0.8824,0.8824,0.1723,0.51936
16,12883,1581.0,0.47005,0.47529,0.8824,0.8824,6607,5348.0,0.51936,0.48039,0.8889,0.8889,0.1067,0.51417
17,6607,5348.0,0.51936,0.48039,0.8889,0.8889,20017,20107.0,0.51417,0.48606000000000005,0.8947,0.8947,0.08825,0.5141600000000001
18,20017,20107.0,0.51417,0.48606000000000005,0.8947,0.8947,20178,12237.0,0.5141600000000001,0.48005,0.9,0.9,0.07882,0.52985
19,20178,12237.0,0.5141600000000001,0.48005,0.9,0.9,9137,15081.0,0.52985,0.46593,0.9048,0.8571,0.05824,0.54157
20,9137,15081.0,0.52985,0.46593,0.9048,0.8571,4230,2551.0,0.54157,0.5073300000000001,0.8636,0.8636,0.05184,0.49391
21,4230,2551.0,0.54157,0.5073300000000001,0.8636,0.8636,20017,9024.0,0.49391,0.51188,0.8696,0.8696,0.11139,0.48833000000000004
22,20017,9024.0,0.49391,0.51188,0.8696,0.8696,10931,3234.0,0.48833000000000004,0.5152800000000001,0.875,0.875,0.08997000000000001,0.46243999999999996
23,10931,3234.0,0.48833000000000004,0.5152800000000001,0.875,0.875,6485,1394.0,0.46243999999999996,0.5411600000000001,0.84,0.88,0.09151000000000001,0.4446
24,6485,1394.0,0.46243999999999996,0.5411600000000001,0.84,0.88,17900,5448.0,0.4446,0.58738,0.8462,0.8846,0.013090000000000001,0.43335
25,17900,5448.0,0.4446,0.58738,0.8462,0.8846,11958,12216.0,0.43335,0.53764,0.8148,0.8889,0.02417,0.4198
26,11958,12216.0,0.43335,0.53764,0.8148,0.8889,5057,16877.0,0.4198,0.57029,0.8214,0.8929,0.0057799999999999995,0.43012
27,5057,16877.0,0.4198,0.57029,0.8214,0.8929,20017,20096.0,0.43012,0.5703,0.8276,0.8966,0.00835,0.41093999999999997
28,20017,20096.0,0.43012,0.5703,0.8276,0.8966,9377,5831.0,0.41093999999999997,0.48378999999999994,0.8,0.8667,0.01196,0.446
29,9377,5831.0,0.41093999999999997,0.48378999999999994,0.8,0.8667,2597,3828.0,0.446,0.59975,0.8065,0.8387,0.01066,0.47321
30,2597,3828.0,0.446,0.59975,0.8065,0.8387,20017,20096.0,0.47321,0.5271600000000001,0.8125,0.8438,0.00633,0.42591
31,20017,20096.0,0.47321,0.5271600000000001,0.8125,0.8438,4410,2034.0,0.42591,0.50047,0.8182,0.8485,0.00563,0.5044
32,4410,2034.0,0.42591,0.50047,0.8182,0.8485,6841,20017.0,0.5044,0.51383,0.8235,0.8529,0.00735,0.48323
33,6841,20017.0,0.5044,0.51383,0.8235,0.8529,4243,11370.0,0.48323,0.53463,0.8286,0.8571,0.00908,0.47593
34,4243,11370.0,0.48323,0.53463,0.8286,0.8571,5324,5138.0,0.47593,0.55143,0.8056,0.8611,0.0135,0.45303000000000004
35,5324,5138.0,0.47593,0.55143,0.8056,0.8611,4574,2603.0,0.45303000000000004,0.55425,0.7838,0.8649,0.00395,0.45693999999999996
36,4574,2603.0,0.45303000000000004,0.55425,0.7838,0.8649,5510,7642.0,0.45693999999999996,0.59077,0.7632,0.8684,0.003,0.408
37,5510,7642.0,0.45693999999999996,0.59077,0.7632,0.8684,4494,2903.0,0.408,0.63642,0.7436,0.8718,0.00298,0.36080999999999996
38,4494,2903.0,0.408,0.63642,0.7436,0.8718,4611,5409.0,0.36080999999999996,0.6522899999999999,0.725,0.875,0.00599,0.36012
39,4611,5409.0,0.36080999999999996,0.6522899999999999,0.725,0.875,6957,12316.0,0.36012,0.6310399999999999,0.7317,0.878,0.0076,0.36930999999999997
40,6957,12316.0,0.36012,0.6310399999999999,0.7317,0.878,20017,14848.0,0.36930999999999997,0.6349600000000001,0.7381,0.8809999999999999,0.007790000000000001,0.35646
41,20017,14848.0,0.36930999999999997,0.6349600000000001,0.7381,0.8809999999999999,10012,11519.0,0.35646,0.63741,0.7442,0.8837,0.0056,0.37204
42,10012,11519.0,0.35646,0.63741,0.7442,0.8837,5892,7567.0,0.37204,0.61478,0.75,0.8636,0.00547,0.43833999999999995
43,5892,7567.0,0.37204,0.61478,0.75,0.8636,5844,8157.0,0.43833999999999995,0.49751000000000006,0.7333,0.8667,0.00702,0.52228
44,5844,8157.0,0.43833999999999995,0.49751000000000006,0.7333,0.8667,10169,20017.0,0.52228,0.5654399999999999,0.7174,0.8696,0.00474,0.4347
45,10169,20017.0,0.52228,0.5654399999999999,0.7174,0.8696,20090,6147.0,0.4347,0.54586,0.7021,0.8723,0.0038,0.46115
46,20090,6147.0,0.4347,0.54586,0.7021,0.8723,3228,4679.0,0.46115,0.5593600000000001,0.7083,0.875,0.00337,0.40598
47,3228,4679.0,0.46115,0.5593600000000001,0.7083,0.875,1703,4196.0,0.40598,0.5990800000000001,0.7143,0.8571,0.00517,0.40288
48,1703,4196.0,0.40598,0.5990800000000001,0.7143,0.8571,5166,20017.0,0.40288,0.59517,0.72,0.86,0.0092,0.41323999999999994
49,5166,20017.0,0.40288,0.59517,0.72,0.86,6770,15403.0,0.41323999999999994,0.60926,0.7059,0.8627,0.008190000000000001,0.40199
50,6770,15403.0,0.41323999999999994,0.60926,0.7059,0.8627,4303,7286.0,0.40199,0.62668,0.6923,0.8654,0.00982,0.355
51,4303,7286.0,0.40199,0.62668,0.6923,0.8654,6028,2619.0,0.355,0.61144,0.6981,0.8679,0.01066,0.42103999999999997
52,6028,2619.0,0.355,0.61144,0.6981,0.8679,6113,5424.0,0.42103999999999997,0.64799,0.6852,0.8704,0.011729999999999999,0.377
53,6113,5424.0,0.42103999999999997,0.64799,0.6852,0.8704,4482,3215.0,0.377,0.68472,0.6727,0.8727,0.01642,0.30794
54,4482,3215.0,0.377,0.68472,0.6727,0.8727,12399,4933.0,0.30794,0.7175199999999999,0.6786,0.8571,0.017519999999999997,0.35546
