,DBSN(t-1),DWSN(t-1),DBWR(t-1),DWWR(t-1),DBTMR(t-1),DWTMR(t-1),DBSN(t),DWSN(t),DBWR(t),DWWR(t),DBTMR(t),DWTMR(t),EBWR(t),DBWR(t+1)
0,3863.0,2274.0,0.52733,0.48533,0.0,1.0,9283.0,7866.0,0.51529,0.48532,0.5,1.0,0.45779,0.51265
1,9283.0,7866.0,0.51529,0.48532,0.5,1.0,11395.0,6798.0,0.51265,0.47717,0.6667,1.0,0.45671,0.51885
2,4499.0,10703.0,0.51885,0.46988,0.75,1.0,7388.0,20017.0,0.5288,0.46679,0.8,1.0,0.47218,0.53309
3,7388.0,20017.0,0.5288,0.46679,0.8,1.0,20098.0,9693.0,0.53309,0.46602,0.8333,1.0,0.47249,0.53075
4,20098.0,9693.0,0.53309,0.46602,0.8333,1.0,20017.0,14595.0,0.53075,0.4713,0.8571,1.0,0.4811,0.5212
5,20017.0,14595.0,0.53075,0.4713,0.8571,1.0,6786.0,4892.0,0.5212,0.45576,0.875,0.875,0.48858,0.53276
6,5267.0,13267.0,0.51407,0.4886,0.9,0.8,8314.0,20017.0,0.50868,0.48669,0.9091,0.8182,0.43671,0.51329
7,20089.0,20161.0,0.51329,0.48678,0.9167,0.8333,15154.0,6694.0,0.51694,0.49295,0.9231,0.8462,0.40338,0.50828
8,15154.0,6694.0,0.51694,0.49295,0.9231,0.8462,6409.0,13768.0,0.50828,0.5085,0.9286,0.8571,0.34558,0.49284
9,1700.0,20017.0,0.46935,0.51789,0.9375,0.875,12883.0,1581.0,0.47005,0.47529,0.8824,0.8824,0.1723,0.51936
10,20017.0,20107.0,0.51417,0.48606,0.8947,0.8947,20178.0,12237.0,0.51416,0.48005,0.9,0.9,0.07882,0.52985
11,20178.0,12237.0,0.51416,0.48005,0.9,0.9,9137.0,15081.0,0.52985,0.46593,0.9048,0.8571,0.05824,0.54157
12,9137.0,15081.0,0.52985,0.46593,0.9048,0.8571,4230.0,2551.0,0.54157,0.50733,0.8636,0.8636,0.05184,0.49391
13,4230.0,2551.0,0.54157,0.50733,0.8636,0.8636,20017.0,9024.0,0.49391,0.51188,0.8696,0.8696,0.11139,0.48833
14,20017.0,9024.0,0.49391,0.51188,0.8696,0.8696,10931.0,3234.0,0.48833,0.51528,0.875,0.875,0.08997,0.46244
15,10931.0,3234.0,0.48833,0.51528,0.875,0.875,6485.0,1394.0,0.46244,0.54116,0.84,0.88,0.09151,0.4446
16,6485.0,1394.0,0.46244,0.54116,0.84,0.88,17900.0,5448.0,0.4446,0.58738,0.8462,0.8846,0.01309,0.43335
17,17900.0,5448.0,0.4446,0.58738,0.8462,0.8846,11958.0,12216.0,0.43335,0.53764,0.8148,0.8889,0.02417,0.4198
18,11958.0,12216.0,0.43335,0.53764,0.8148,0.8889,5057.0,16877.0,0.4198,0.57029,0.8214,0.8929,0.00578,0.43012
19,5057.0,16877.0,0.4198,0.57029,0.8214,0.8929,20017.0,20096.0,0.43012,0.5703,0.8276,0.8966,0.00835,0.41094
20,20017.0,20096.0,0.43012,0.5703,0.8276,0.8966,9377.0,5831.0,0.41094,0.48379,0.8,0.8667,0.01196,0.446
21,9377.0,5831.0,0.41094,0.48379,0.8,0.8667,2597.0,3828.0,0.446,0.59975,0.8065,0.8387,0.01066,0.47321
22,20017.0,20096.0,0.47321,0.52716,0.8125,0.8438,4410.0,2034.0,0.42591,0.50047,0.8182,0.8485,0.00563,0.5044
