,DBSN(t-1),DWSN(t-1),DBWR(t-1),DWWR(t-1),DBTMR(t-1),DWTMR(t-1),DBSN(t),DWSN(t),DBWR(t),DWWR(t),DBTMR(t),DWTMR(t),EBWR(t),DBWR(t+1)
0,8903.0,4688.0,0.46861,0.51916,0.7692,0.7692,5876.0,7672.0,0.48364,0.50679,0.7857,0.7143,0.45119,0.4552
1,10628.0,9197.0,0.6449,0.29847,0.7241,0.8103,20017.0,20130.0,0.68517,0.31483,0.7288,0.8136,0.97855,0.70425
2,4050.0,18631.0,0.29575,0.73336,0.7015,0.8657,8319.0,20017.0,0.30132,0.77526,0.6912,0.8676,0.01098,0.23052
3,20140.0,5855.0,0.58261,0.41824,0.7632,0.8421,13586.0,5418.0,0.58202,0.41041,0.7692,0.8462,0.94997,0.62663
4,20017.0,4363.0,0.48104,0.51859,0.8,0.7778,4753.0,11917.0,0.49043,0.52293,0.7826,0.7826,0.0075,0.48807
5,10590.0,14415.0,0.64394,0.3508,0.7347,0.8163,2240.0,6558.0,0.63046,0.41331,0.74,0.82,0.97172,0.58701
6,2083.0,4898.0,0.32689,0.66585,0.8804,0.8261,20017.0,20204.0,0.28932,0.71068,0.8817,0.828,0.0118,0.27759
7,2730.0,14532.0,0.37391,0.62296,0.86,0.88,4237.0,14868.0,0.3729,0.63897,0.8627,0.8824,0.06419,0.36205
8,6692.0,7888.0,0.4899,0.50334,0.619,0.7143,20017.0,20094.0,0.4957,0.50458,0.6364,0.7273,0.34295,0.48969
9,7318.0,20017.0,0.62172,0.36629,0.75,0.65,3696.0,3811.0,0.63454,0.34715,0.7541,0.6557,0.98598,0.65839
10,15476.0,7314.0,0.23981,0.7675,0.8571,0.8482,20017.0,8610.0,0.25343,0.76358,0.8584,0.8496,0.01389,0.255
11,20169.0,14476.0,0.40653,0.61048,0.7455,0.8364,2079.0,16675.0,0.39466,0.59136,0.75,0.8393,0.97704,0.41528
12,5249.0,1533.0,0.49412,0.50313,0.65,0.9,5507.0,16593.0,0.49399,0.52015,0.619,0.9048,0.98905,0.4798
13,2041.0,2765.0,0.3301,0.66363,0.7632,0.7632,8768.0,15265.0,0.34002,0.66624,0.7692,0.7692,0.00404,0.32962
14,20082.0,8833.0,0.30241,0.70669,0.7018,0.7895,12250.0,5313.0,0.30324,0.69921,0.7069,0.7931,0.0151,0.30604
15,13427.0,8662.0,0.44124,0.55608,0.8077,0.6923,13680.0,5363.0,0.43992,0.55665,0.8148,0.7037,0.03637,0.44884
16,11852.0,3759.0,0.71951,0.23864,0.7558,0.7907,10952.0,5586.0,0.7722,0.2754,0.7586,0.7816,0.99208,0.78841
17,4897.0,8328.0,0.74798,0.24556,0.8431,0.7843,3093.0,1407.0,0.77208,0.24211,0.8462,0.7885,0.99782,0.77823
18,6181.0,6971.0,0.9915,0.00782,0.8264,0.8595,2605.0,20017.0,0.98887,0.00947,0.8279,0.8607,0.99579,0.99072
19,5008.0,10892.0,0.4714,0.53226,0.5,1.0,5232.0,5945.0,0.46262,0.51834,0.6667,1.0,0.53509,0.47684
20,6218.0,10457.0,0.47991,0.52834,0.9,0.9,8175.0,9629.0,0.5049,0.4802,0.8182,0.9091,0.56547,0.51707
21,4381.0,5928.0,0.60184,0.40141,0.7059,0.6765,8364.0,3657.0,0.62033,0.40431,0.6857,0.6571,0.9912,0.5937
22,16335.0,13403.0,0.49215,0.52843,0.7442,0.8372,15246.0,20017.0,0.47417,0.52592,0.75,0.8409,0.00954,0.46797
23,20017.0,4747.0,0.4924,0.55127,0.7879,0.7576,11085.0,3492.0,0.51611,0.50979,0.7941,0.7353,0.09892,0.47779
24,11848.0,3427.0,0.17109,0.82729,0.8906,0.8594,4995.0,20017.0,0.16776,0.83357,0.8923,0.8615,0.00663,0.17697
25,11683.0,16403.0,0.66731,0.34028,0.871,0.8871,6315.0,1327.0,0.64139,0.29694,0.873,0.8889,0.96101,0.6907
26,2430.0,20017.0,0.80422,0.20224,0.7733,0.76,10725.0,9554.0,0.81855,0.17834,0.7763,0.7632,0.99151,0.84429
27,20017.0,20104.0,0.56929,0.43078,0.9524,1.0,20346.0,20425.0,0.56903,0.43076,0.9545,1.0,0.95587,0.5991
28,5809.0,10382.0,0.50095,0.49644,1.0,1.0,5510.0,4956.0,0.50471,0.50704,1.0,1.0,0.51365,0.50586
29,20100.0,4480.0,0.95758,0.02639,0.8559,0.8108,8903.0,3640.0,0.97595,0.03167,0.8482,0.8125,0.99042,0.97452
30,5917.0,8949.0,0.7634,0.26118,0.8333,0.8889,9474.0,7054.0,0.74382,0.24375,0.8364,0.8909,0.98898,0.76851
31,12700.0,6147.0,0.45891,0.53332,0.8333,0.9167,4333.0,3610.0,0.48284,0.5185,0.8462,0.8462,0.15464,0.48838
32,11444.0,20017.0,0.8571,0.14212,0.7921,0.7723,6133.0,15034.0,0.84283,0.1277,0.7843,0.7745,0.9897,0.8717
33,2597.0,3828.0,0.446,0.59975,0.8065,0.8387,20017.0,20096.0,0.47321,0.52716,0.8125,0.8438,0.00633,0.42591
34,20017.0,8106.0,0.67226,0.31933,0.8,0.85,20017.0,9634.0,0.67851,0.33264,0.8049,0.8537,0.97634,0.66496
35,3213.0,3938.0,0.48597,0.54811,0.6667,0.8889,9489.0,20017.0,0.46263,0.53317,0.7,0.9,0.28952,0.4667
36,14972.0,11253.0,0.67422,0.3391,0.82,0.86,1895.0,6402.0,0.65568,0.33327,0.8235,0.8431,0.99756,0.6738
37,6266.0,5429.0,0.60087,0.43449,0.9375,0.8438,6216.0,7843.0,0.64338,0.38,0.9091,0.8485,0.96409,0.62416
38,20017.0,15110.0,0.52134,0.47844,0.8929,0.8214,8497.0,20017.0,0.51816,0.47795,0.8966,0.8276,0.06489,0.53217
39,8588.0,9509.0,0.50491,0.50575,0.9231,0.9231,4683.0,7380.0,0.49093,0.50727,0.9259,0.8889,0.85391,0.5418
40,3686.0,4323.0,0.20009,0.81869,0.8977,0.8523,3366.0,1695.0,0.16829,0.77228,0.8989,0.8539,0.00716,0.15558
41,20017.0,17405.0,0.72091,0.28356,0.875,0.8281,20017.0,5545.0,0.71772,0.26972,0.8769,0.8154,0.99544,0.7635
42,6043.0,20017.0,0.48246,0.5527,0.7,0.9,20102.0,9540.0,0.4471,0.56028,0.7143,0.9048,0.25596,0.44318
43,20086.0,8432.0,0.69181,0.30956,0.8333,0.8125,9756.0,9470.0,0.68586,0.29041,0.8367,0.7959,0.99694,0.68708
44,20100.0,16924.0,0.2118,0.79256,0.8815,0.7704,20017.0,20149.0,0.2089,0.79101,0.8824,0.7721,0.0255,0.23232
45,11705.0,20017.0,0.89425,0.11015,0.7849,0.7634,3606.0,20017.0,0.91126,0.09457,0.7872,0.7553,0.9901,0.8986
46,11445.0,11970.0,0.5064,0.49772,0.7273,1.0,13447.0,20017.0,0.507,0.4968,0.75,1.0,0.58403,0.50127
47,6881.0,6416.0,0.85151,0.12226,0.7432,0.8243,20017.0,20089.0,0.87487,0.12514,0.7467,0.8267,0.98706,0.87368
48,12894.0,11377.0,0.43099,0.56293,0.6,0.9,13798.0,7672.0,0.44168,0.56598,0.6364,0.8182,0.45636,0.43065
49,7721.0,12854.0,0.47879,0.54077,0.5,1.0,13357.0,15952.0,0.46337,0.54263,0.6,1.0,0.52305,0.43646
50,2418.0,4590.0,0.40404,0.57951,0.925,0.775,4557.0,6406.0,0.41227,0.5729,0.9268,0.7805,0.09915,0.43425
51,20017.0,5170.0,0.52506,0.46837,0.775,0.75,4932.0,7234.0,0.54355,0.46872,0.7805,0.7561,0.92057,0.54881
52,6878.0,15250.0,0.37125,0.64252,0.8085,0.766,5181.0,5399.0,0.37999,0.62756,0.8125,0.7708,0.04861,0.37696
53,779.0,1035.0,0.31982,0.7542,0.5294,0.6471,592.0,2337.0,0.32182,0.69384,0.5217,0.6522,0.0064,0.32363
54,20165.0,6106.0,0.3719,0.60881,0.9216,0.8039,3142.0,2509.0,0.39313,0.58646,0.9231,0.8077,0.01548,0.39382
55,20017.0,9480.0,0.62643,0.3831,0.7949,0.8974,12803.0,12685.0,0.63819,0.3739,0.775,0.875,0.95526,0.67397
56,16810.0,20017.0,0.46222,0.5383,0.8036,0.8214,11796.0,20017.0,0.46362,0.53756,0.807,0.8246,0.05538,0.46714
57,4879.0,5065.0,0.42353,0.55748,0.7391,0.913,13499.0,9827.0,0.44553,0.58188,0.7083,0.875,0.1847,0.43787
58,743.0,1017.0,0.4759,0.58626,0.5741,0.6296,479.0,1755.0,0.52673,0.49453,0.5818,0.6182,0.00678,0.46853
59,4920.0,4187.0,0.67434,0.36304,0.791,0.7612,3669.0,5816.0,0.70009,0.30838,0.7941,0.7647,0.99516,0.71745
60,14946.0,2579.0,0.54641,0.43778,0.75,0.8571,3427.0,2352.0,0.57828,0.43965,0.7241,0.8621,0.99575,0.58915
61,5284.0,12978.0,0.44144,0.55673,0.625,0.875,2813.0,3844.0,0.4243,0.57729,0.6667,0.8889,0.80253,0.42108
62,13966.0,20017.0,0.45919,0.54167,0.8182,0.6364,6424.0,10888.0,0.47717,0.52868,0.8333,0.5833,0.44654,0.49561
63,6612.0,2940.0,0.76085,0.2427,0.8676,0.8235,20017.0,5845.0,0.75435,0.27976,0.8696,0.8116,0.98576,0.81449
64,11204.0,7793.0,0.54778,0.48382,0.7708,0.8125,3267.0,20017.0,0.50935,0.48886,0.7755,0.8163,0.01773,0.51161
65,14757.0,12150.0,0.67667,0.31783,0.7722,0.7848,20017.0,16547.0,0.68397,0.32063,0.775,0.7875,0.9811,0.70374
66,18451.0,2624.0,0.51731,0.47249,1.0,1.0,3852.0,5940.0,0.51476,0.48923,1.0,1.0,0.62959,0.52059
67,5666.0,3906.0,0.35239,0.76016,0.8254,0.7143,6897.0,8789.0,0.25263,0.73681,0.8281,0.7188,0.03179,0.2887
68,20017.0,5987.0,0.20157,0.75048,0.8614,0.8416,8848.0,4706.0,0.23559,0.86035,0.8529,0.8333,0.00814,0.29682
69,7667.0,2672.0,0.82437,0.18964,0.9194,0.9032,7094.0,2369.0,0.82214,0.18619,0.9206,0.9048,0.99243,0.82854
70,20017.0,9232.0,0.61195,0.37845,0.8947,0.8684,20017.0,5088.0,0.62187,0.39942,0.8718,0.8718,0.99008,0.59985
71,3434.0,8199.0,0.55595,0.5053,0.7419,0.8226,2592.0,17315.0,0.49195,0.51916,0.746,0.8254,0.0132,0.46435
72,20017.0,9192.0,0.71508,0.27673,0.88,0.92,20017.0,20122.0,0.7169,0.28323,0.8824,0.9216,0.95266,0.72178
73,1355.0,1341.0,0.44965,0.55405,0.5763,0.6441,1022.0,731.0,0.49034,0.53686,0.5667,0.65,0.01017,0.4952
74,4438.0,8871.0,0.5119,0.48789,0.8571,0.9048,20017.0,9095.0,0.51123,0.48742,0.8636,0.9091,0.85227,0.4819
75,20315.0,20388.0,0.50074,0.49939,0.8889,1.0,20465.0,3992.0,0.50069,0.48118,0.9,1.0,0.61319,0.51628
76,8854.0,3638.0,0.61586,0.38468,0.8958,0.8542,4425.0,6414.0,0.63364,0.37352,0.898,0.8571,0.99574,0.65054
77,20017.0,16547.0,0.68397,0.32063,0.775,0.7875,6589.0,20017.0,0.70374,0.31176,0.7778,0.7901,0.98388,0.68829
78,6568.0,10580.0,0.67256,0.35669,0.8806,0.8507,16434.0,20017.0,0.65144,0.34787,0.8824,0.8529,0.98218,0.64315
79,20169.0,16616.0,0.72353,0.28827,0.8033,0.7869,6763.0,8727.0,0.72681,0.26306,0.8065,0.7742,0.94621,0.7839
80,6937.0,14387.0,0.06022,0.94303,0.8571,0.8421,20017.0,7066.0,0.05636,0.94015,0.8582,0.8433,0.10214,0.0626
81,8288.0,20017.0,0.5373,0.47053,0.8056,0.8889,11131.0,4915.0,0.52754,0.46779,0.8108,0.8919,0.76082,0.5557
82,8429.0,20017.0,0.46254,0.50683,0.8276,0.9655,7869.0,5787.0,0.50628,0.52887,0.8,0.9333,0.77216,0.48672
83,4424.0,5315.0,0.67793,0.24693,0.7119,0.7966,12319.0,2831.0,0.73331,0.25095,0.7167,0.8,0.98036,0.75309
84,20304.0,6119.0,0.15987,0.85883,0.8047,0.8594,11011.0,5635.0,0.14083,0.88624,0.7984,0.8605,0.10529,0.10471
85,2894.0,6020.0,0.44651,0.55482,0.875,0.8333,20017.0,2084.0,0.45284,0.52929,0.88,0.84,0.19541,0.483
86,20017.0,6371.0,0.51375,0.47616,0.8929,0.8571,20017.0,1523.0,0.52779,0.39636,0.8966,0.8621,0.21621,0.60431
87,6053.0,5643.0,0.51969,0.47913,0.4444,0.8889,4547.0,12710.0,0.52467,0.49898,0.4,0.8,0.71312,0.51048
88,15914.0,8765.0,0.47047,0.51267,0.9,0.9,20017.0,20129.0,0.48825,0.51156,0.9091,0.9091,0.74927,0.48856
89,9903.0,13429.0,0.48954,0.52712,0.931,0.8276,4703.0,7391.0,0.42214,0.57464,0.9333,0.8333,0.01741,0.44203
90,2625.0,4688.0,0.24902,0.73687,0.7703,0.8784,12634.0,3719.0,0.26099,0.74303,0.7733,0.88,0.03476,0.24983
91,9393.0,5664.0,0.53218,0.45509,0.76,0.72,12521.0,20017.0,0.56178,0.44347,0.7692,0.7308,0.81409,0.55661
92,15664.0,6986.0,0.80969,0.24814,0.7931,0.7701,8394.0,20017.0,0.83407,0.16315,0.7955,0.7614,0.98869,0.85046
93,8423.0,20017.0,0.50369,0.53943,0.6538,0.9231,9909.0,5793.0,0.45265,0.59616,0.6296,0.8889,0.95872,0.47998
94,882.0,3248.0,0.34136,0.66808,0.8684,0.7895,6129.0,7352.0,0.38249,0.58621,0.8718,0.7949,0.02057,0.41367
95,18248.0,13545.0,0.33022,0.68432,0.8081,0.8081,6209.0,1556.0,0.32988,0.71544,0.8,0.81,0.07778,0.27535
96,8787.0,3321.0,0.86777,0.13381,0.7647,0.6961,20017.0,8522.0,0.85461,0.14549,0.767,0.699,0.98275,0.85184
97,12521.0,20017.0,0.56178,0.44347,0.7692,0.7308,20118.0,10005.0,0.55661,0.45544,0.7778,0.7407,0.80068,0.53464
98,8194.0,3964.0,0.35087,0.64334,0.8571,0.8286,11486.0,11517.0,0.36657,0.62488,0.8611,0.8333,0.00613,0.38031
99,336.0,486.0,0.36728,0.62003,0.625,0.6042,480.0,1663.0,0.47214,0.54705,0.6327,0.6122,0.05694,0.51183
100,8293.0,12705.0,0.41346,0.60159,0.9167,0.7917,12495.0,9609.0,0.4016,0.62219,0.9184,0.7959,0.0215,0.37165
101,3243.0,5789.0,0.54916,0.49638,0.8333,0.9444,2576.0,7526.0,0.54789,0.42491,0.8421,0.9474,0.96346,0.57621
102,542.0,273.0,0.34642,0.53839,0.808,0.776,7192.0,19203.0,0.2333,0.81349,0.8095,0.7778,0.01297,0.18446
103,12869.0,20017.0,0.60165,0.39498,0.7667,0.8333,20107.0,3899.0,0.60514,0.38672,0.7705,0.8361,0.98613,0.65039
104,20017.0,20091.0,0.505,0.4951,0.8667,0.8667,11158.0,4269.0,0.51331,0.48769,0.875,0.875,0.63486,0.51195
105,3026.0,7873.0,0.43017,0.54815,0.8571,1.0,5206.0,20017.0,0.46492,0.56007,0.75,1.0,0.48477,0.43964
106,20017.0,3316.0,0.99355,0.00575,0.8131,0.8505,20017.0,10161.0,0.99362,0.00637,0.8148,0.8519,0.99718,0.99339
107,20017.0,6117.0,0.69186,0.31278,0.7846,0.7692,4391.0,8276.0,0.63211,0.34301,0.7879,0.7727,0.99583,0.67434
108,11254.0,5874.0,0.37785,0.62677,0.9167,0.9167,4401.0,2762.0,0.38556,0.61618,0.88,0.92,0.17118,0.39471
109,4815.0,7728.0,0.67891,0.44211,0.78,0.82,11844.0,3017.0,0.57121,0.47741,0.7647,0.8039,0.86536,0.57139
110,20165.0,20235.0,0.5006,0.49952,0.875,1.0,20315.0,20388.0,0.50074,0.49939,0.8889,1.0,0.61277,0.50069
111,484.0,4008.0,0.22917,0.7376,0.7818,0.7818,5034.0,20017.0,0.3035,0.68998,0.7857,0.7857,0.01578,0.29272
112,20017.0,20107.0,0.69609,0.30411,0.8039,0.8431,20017.0,20139.0,0.68972,0.31015,0.8077,0.8462,0.99127,0.68959
113,6093.0,5972.0,0.3686,0.65041,0.8519,0.8519,20017.0,14782.0,0.34485,0.65449,0.8545,0.8545,0.01018,0.33959
114,11179.0,8859.0,0.50561,0.49601,0.5882,0.7059,6142.0,20017.0,0.50599,0.50389,0.5556,0.7222,0.2701,0.49619
115,10686.0,2179.0,0.58146,0.4159,0.8667,0.9,4093.0,4652.0,0.5866,0.37668,0.871,0.9032,0.96223,0.64235
116,7233.0,20017.0,0.89041,0.1143,0.9265,0.8824,20104.0,6532.0,0.88562,0.11714,0.9275,0.8696,0.99088,0.88952
117,20017.0,20112.0,0.81396,0.18587,0.7586,0.7011,4372.0,5142.0,0.80129,0.19407,0.75,0.7045,0.99296,0.81639
118,20149.0,20222.0,0.98977,0.01039,0.8205,0.8632,14469.0,10039.0,0.98973,0.01016,0.822,0.8644,0.99704,0.99034
119,7633.0,5947.0,0.40348,0.59108,0.7714,0.8571,7208.0,9440.0,0.43678,0.60284,0.75,0.8611,0.11301,0.41917
120,3574.0,20017.0,0.6036,0.40666,0.875,0.85,9575.0,10265.0,0.61534,0.39579,0.878,0.8293,0.98141,0.61277
121,6832.0,3698.0,0.61327,0.40994,0.8788,0.8182,8344.0,2791.0,0.61542,0.36561,0.8824,0.8235,0.9812,0.64106
122,9749.0,12799.0,0.5374,0.46622,1.0,0.9091,4143.0,5492.0,0.52923,0.47618,1.0,0.9167,0.16323,0.52467
123,20017.0,14782.0,0.34485,0.65449,0.8545,0.8545,4524.0,5156.0,0.33959,0.66179,0.8571,0.8571,0.00664,0.35312
124,5176.0,2175.0,0.57049,0.42618,0.7593,0.7593,8487.0,5347.0,0.58447,0.40369,0.7636,0.7636,0.01461,0.58206
125,6522.0,14066.0,0.45878,0.53185,0.7368,0.8947,6043.0,20017.0,0.48246,0.5527,0.7,0.9,0.35342,0.4471
126,2023.0,957.0,0.49907,0.49988,0.8372,0.6744,4882.0,11721.0,0.49289,0.49118,0.8182,0.6818,0.05692,0.50859
127,9226.0,4402.0,0.7839,0.25483,0.7937,0.7778,3551.0,2408.0,0.78507,0.30769,0.7812,0.7812,0.99382,0.69186
128,9666.0,20017.0,0.52261,0.48021,0.913,0.913,20228.0,20310.0,0.51947,0.48062,0.9167,0.9167,0.75664,0.53508
129,20017.0,13389.0,0.36933,0.63503,0.7568,0.7973,2580.0,20017.0,0.26712,0.7244,0.76,0.8,0.0139,0.29559
130,20017.0,4776.0,0.81313,0.18614,0.75,0.7794,20017.0,12514.0,0.81735,0.18008,0.7536,0.7826,0.97534,0.81734
131,17922.0,9130.0,0.50988,0.47755,0.7727,0.8636,8765.0,3545.0,0.4696,0.49385,0.7556,0.8667,0.96463,0.50748
132,11158.0,4269.0,0.51331,0.48769,0.875,0.875,20017.0,20017.0,0.51195,0.44972,0.8235,0.8824,0.69793,0.51386
133,4249.0,9629.0,0.8905,0.0987,0.9114,0.8354,2316.0,20017.0,0.91406,0.09889,0.9125,0.8375,0.99407,0.90625
134,4972.0,9871.0,0.50065,0.48369,0.8065,0.9032,11419.0,20017.0,0.5094,0.49015,0.8125,0.9062,0.97457,0.50969
135,5085.0,11953.0,0.46749,0.54291,0.8571,0.7429,4636.0,2434.0,0.47648,0.54604,0.8611,0.75,0.01689,0.47156
136,6654.0,8596.0,0.89797,0.10536,0.787,0.787,14487.0,4160.0,0.89243,0.11335,0.789,0.789,0.98421,0.88387
137,20017.0,15948.0,0.48248,0.49475,0.8421,0.8947,8885.0,6192.0,0.518,0.49334,0.85,0.9,0.97142,0.50266
138,13166.0,9862.0,0.6429,0.36792,0.8108,0.7838,20017.0,20089.0,0.63304,0.36669,0.8158,0.7895,0.0642,0.63334
139,6164.0,1396.0,0.41639,0.6002,0.7347,0.6939,5695.0,4522.0,0.36048,0.58924,0.72,0.7,0.05482,0.42008
140,2082.0,9856.0,0.50087,0.51372,0.7059,0.9706,4553.0,8434.0,0.52081,0.48118,0.7143,0.9429,0.81872,0.52245
141,12319.0,2831.0,0.73331,0.25095,0.7167,0.8,13660.0,2379.0,0.75309,0.27221,0.7213,0.8033,0.96272,0.6907
142,10855.0,14740.0,0.45132,0.54457,0.8485,0.7576,5514.0,8646.0,0.48079,0.51836,0.8529,0.7353,0.01071,0.46749
143,20017.0,20102.0,0.41242,0.58788,0.8889,0.9259,5997.0,2048.0,0.40623,0.60179,0.8929,0.9286,0.32578,0.41485
144,15024.0,5506.0,0.99209,0.00988,0.8039,0.8431,20017.0,8923.0,0.99014,0.00652,0.8058,0.8447,0.97602,0.99456
145,1392.0,1319.0,0.4108,0.65468,0.6078,0.6078,649.0,3017.0,0.3476,0.6223,0.5962,0.6154,0.02405,0.41427
146,20017.0,20191.0,0.99161,0.00847,0.8158,0.8596,5736.0,20017.0,0.99166,0.00866,0.8174,0.8609,0.99729,0.99136
147,20169.0,6780.0,0.82675,0.1978,0.7822,0.7921,7608.0,20017.0,0.81388,0.18193,0.7843,0.7941,0.99681,0.83648
148,14532.0,7082.0,0.54104,0.46028,0.8333,0.875,9276.0,4547.0,0.52505,0.4691,0.84,0.88,0.93577,0.55184
149,4400.0,3123.0,0.59093,0.50996,0.7586,0.8966,3545.0,12938.0,0.52291,0.49385,0.7667,0.9,0.99346,0.49742
150,3082.0,2350.0,0.60594,0.39132,0.6977,0.6977,5241.0,8989.0,0.65244,0.3759,0.7045,0.6818,0.98794,0.62014
151,19100.0,3667.0,0.4161,0.6012,0.7255,0.8235,10365.0,5857.0,0.39847,0.58564,0.7308,0.8269,0.9724,0.42318
152,12486.0,1798.0,0.58782,0.38727,0.931,0.931,13818.0,20017.0,0.60019,0.45041,0.9,0.9333,0.14074,0.54957
153,20017.0,6701.0,0.43305,0.56665,0.4286,0.8571,20017.0,20119.0,0.43172,0.56792,0.5,0.875,0.44675,0.43171
154,13818.0,20017.0,0.60019,0.45041,0.9,0.9333,20125.0,10573.0,0.54957,0.44483,0.9032,0.9032,0.07891,0.479
155,20214.0,12023.0,0.99072,0.00942,0.8293,0.8618,20017.0,20134.0,0.99119,0.00896,0.8306,0.8629,0.93273,0.9882
156,20216.0,20293.0,0.5029,0.4972,0.8421,0.8947,5712.0,14914.0,0.50214,0.50638,0.85,0.9,0.84717,0.5119
157,13767.0,12731.0,0.71314,0.28185,0.7955,0.6477,5242.0,7542.0,0.71897,0.27145,0.7865,0.6517,0.96824,0.72585
158,20017.0,6389.0,0.42513,0.58001,0.7619,0.7619,3660.0,7405.0,0.3904,0.61542,0.7727,0.7273,0.32646,0.0
159,6230.0,20017.0,0.72247,0.27634,0.8197,0.8361,4844.0,8661.0,0.73983,0.2218,0.8226,0.8387,0.99485,0.77428
160,7976.0,9354.0,0.5176,0.47946,1.0,0.6667,9707.0,7467.0,0.53043,0.4712,1.0,0.5,0.47566,0.51404
161,17427.0,6738.0,0.90507,0.09039,0.8125,0.8625,8391.0,20017.0,0.93224,0.06633,0.8148,0.8642,0.98021,0.93374
162,7718.0,13596.0,0.48991,0.51129,0.92,0.76,20017.0,20196.0,0.48949,0.51068,0.9231,0.7692,0.02779,0.45996
163,4376.0,2855.0,0.52289,0.50258,0.8108,0.7027,20017.0,5141.0,0.50779,0.49439,0.8158,0.7105,0.07024,0.42513
164,20190.0,2139.0,0.69604,0.32332,0.7778,0.6528,2985.0,5577.0,0.68942,0.32249,0.7808,0.6438,0.97901,0.7146
165,15757.0,9677.0,0.59076,0.40919,0.7826,0.9565,7600.0,20017.0,0.58026,0.42456,0.7917,0.9583,0.97519,0.57581
166,6467.0,13840.0,0.48934,0.54689,0.5455,0.9091,20017.0,8928.0,0.45495,0.5491,0.5,0.9167,0.58772,0.43588
167,5880.0,20017.0,0.6792,0.3281,0.8148,0.8519,20017.0,1834.0,0.67064,0.30112,0.8182,0.8545,0.99327,0.69043
168,4872.0,20017.0,0.27435,0.72048,0.8909,0.7818,20118.0,16132.0,0.27966,0.73114,0.8929,0.7857,0.00871,0.27123
169,20017.0,3283.0,0.63971,0.36804,0.7818,0.8182,1712.0,3182.0,0.66209,0.36452,0.7857,0.8036,0.98755,0.69713
170,10505.0,4621.0,0.45618,0.51487,0.8049,0.7561,6993.0,5253.0,0.47987,0.52781,0.8095,0.7381,0.00755,0.57739
171,6367.0,3052.0,0.37653,0.63719,0.7879,0.7879,3901.0,9906.0,0.41241,0.61664,0.7647,0.7941,0.15392,0.37488
172,22000.0,2676.0,0.47782,0.4986,0.0,1.0,10353.0,8203.0,0.47993,0.52992,0.5,1.0,0.45591,0.46706
173,12238.0,14712.0,0.47778,0.51991,0.6471,0.8824,8469.0,5275.0,0.49868,0.53186,0.6111,0.8889,0.76182,0.4694
174,8314.0,20017.0,0.50868,0.48669,0.9091,0.8182,20089.0,20161.0,0.51329,0.48678,0.9167,0.8333,0.41195,0.51694
175,8199.0,14316.0,0.5252,0.4817,0.8333,0.8333,12148.0,14666.0,0.53234,0.49857,0.7143,0.7143,0.50551,0.50101
176,5706.0,2037.0,0.53867,0.43069,0.7895,0.807,20017.0,8398.0,0.55396,0.48499,0.7931,0.7931,0.01351,0.59119
177,20251.0,2298.0,0.52289,0.41896,0.8621,0.8966,10686.0,2179.0,0.58146,0.4159,0.8667,0.9,0.92397,0.5866
178,8778.0,20017.0,0.61692,0.38473,0.7778,0.8333,14852.0,20017.0,0.62522,0.3673,0.7838,0.8378,0.96492,0.63273
179,4637.0,9598.0,0.52551,0.47787,0.6667,1.0,5554.0,20017.0,0.53035,0.496,0.5714,1.0,0.61765,0.50724
